"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","AGE","Age","SEX","Gender","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BFR","French Comm. (Belgium)","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","M","Men","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,43407.1116568128,,
"BFR","French Comm. (Belgium)","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","F","Women","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,55089.9948061075,,
"BFR","French Comm. (Belgium)","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","M","Men","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,54789.262308627,,
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","F","Women","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","M","Men","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","F","Women","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","M","Men","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","F","Women","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,,"m","Missing data"
